"tree_ID","latitude","longitude","GUD","SRS","GUD_DOY","SRS_DOY","pheno_lag","dNDVI","NDVIseas","ratio","gup_rate","rain_sum","MAP","soil_texture","slope","elevation","curvature","admin","resid_trend"
"tree_720061",-7.42727,34.14456,77.6666666666667,152.666666666667,258.666666666667,332.666666666667,-75,0.179572298529204,0.607858227233733,0.318661961858969,151.666666666667,1060.15741404907,930.197482844857,1.75131846953251,3.35987520217896,1256,-4,"United Republic of Tanzania",-9.31348858645837
"tree_721316",-8.42403,34.19847,91,150.333333333333,272,330.333333333333,-59.3333333333333,0.0285025684525183,0.597635492702404,0.0494015357117346,145,808.823152426597,701.236700831879,-1.83690251050055,2.09111857414246,1024,0,"United Republic of Tanzania",-3.7514234986723
"tree_72132",-27.76733,26.8502,136,160,317,340,-24,0.063490825789096,0.679771860260805,0.0934001971848861,90,374.552972137928,528.288126304746,1.66749663543511,2.12966775894165,1356,6,"South Africa",45.226182001926
"tree_724891",-4.74035,33.68734,107.666666666667,112.666666666667,288.666666666667,292.666666666667,-5,0.02316979207469,0.57804026615175,0.039521870998622,106.666666666667,1197.08443401802,1154.40728180159,1.63462825867714,0.93059241771698,1163,0,"United Republic of Tanzania",22.0803736961143
"tree_725265",-4.53751,31.15332,71,140,252,320,-69,0.312371457021578,0.499149617580269,0.625807265035809,135,1278.51245737076,1218.53326960802,-0.159777897684865,2.93870496749878,1192,-14,"United Republic of Tanzania",-13.1082299552645
"tree_725282",-6.48451,32.23508,86,129,267,309,-43,0.274081672972822,0.473358360230488,0.579015173280907,125,1038.34809101658,1327.23952903546,3.06168435431165,1.31566846370697,1129,-12,"United Republic of Tanzania",2.2198698703935
"tree_726151",-7.27051,31.71628,83.5,132.5,264.5,312.5,-49,0.147421487533217,0.586637022491513,0.269363174471835,102.5,1158.68355718105,1070.90846781926,2.01961731597847,1.85433411598206,963,-8,"United Republic of Tanzania",-7.16062456492633
"tree_726838",-9.73477,34.66715,131,146,312,326,-15,0.011606715408714,0.632251674815397,0.0183577456115128,80,1739.16043628659,1705.24863292277,-2.17456502199044,14.9464473724365,2190,14,"United Republic of Tanzania",73.2123590973015
"tree_728998",-4.08173,34.41564,81,140.75,262,320.75,-59.75,0.173463433402323,0.565855161100677,0.311211562118743,121.25,774.404119001701,747.432514835149,0.206539537936783,26.1807041168213,1152,10,"United Republic of Tanzania",-10.6072120091285
"tree_729119",-6.82022,35.31485,122.25,147.75,303.25,327.75,-25.5,0.0630934397756252,0.636361137949019,0.109768182196915,100,787.532354530131,801.943999900142,0.779352704541508,11.7435264587402,1072,0,"United Republic of Tanzania",29.8675094092335
