"tree_ID","rainyear","GUD","GUD_DOY","latitude","longitude"
"tree_3762933",2022,106,287,-9.94885642887997,31.5588596320621
"tree_3763075",2023,76,257,-13.0846256035937,30.1433759709594
"tree_3763178",2019,66,247,-12.5794406679456,28.3656839903863
"tree_3763178",2020,41,222,-12.5794406679456,28.3656839903863
"tree_3763178",2021,66,247,-12.5794406679456,28.3656839903863
"tree_3763178",2022,66,247,-12.5794406679456,28.3656839903863
"tree_3763178",2023,61,242,-12.5794406679456,28.3656839903863
"tree_3763593",2020,101,282,-14.7794853229979,30.6840776464981
"tree_3763593",2021,76,257,-14.7794853229979,30.6840776464981
"tree_3763851",2019,66,247,-15.3941099758007,25.6007960866919
"tree_3763851",2020,81,262,-15.3941099758007,25.6007960866919
"tree_3763851",2021,71,252,-15.3941099758007,25.6007960866919
"tree_3763851",2023,1,182,-15.3941099758007,25.6007960866919
"tree_3763965",2022,96,277,-14.5278850051583,28.2782410187282
"tree_3764785",2019,126,307,-10.186392741997,31.8729319556605
"tree_3764785",2021,111,292,-10.186392741997,31.8729319556605
"tree_3764785",2023,116,297,-10.186392741997,31.8729319556605
"tree_3764954",2019,51,232,-9.0628018358529,29.0940692292646
"tree_3764954",2020,81,262,-9.0628018358529,29.0940692292646
"tree_3764954",2022,81,262,-9.0628018358529,29.0940692292646
"tree_3764954",2023,81,262,-9.0628018358529,29.0940692292646
